,rated,turns,victory_status,winner,white_rating,black_rating,opening_eco,opening_ply,increment_code
3997,1,65,2,1,1711,1713,C68,8,2
3998,1,137,0,0,1712,1751,C01,5,2
3999,1,52,3,2,1764,1711,D20,5,2
4000,1,85,1,1,1737,1745,C62,6,2
4001,1,35,2,1,1734,1748,B30,5,2
4002,1,80,1,2,1696,1725,C24,4,2
4003,1,105,2,1,1712,1770,D03,5,2
4004,1,90,2,2,1734,1701,C20,3,2
4005,1,149,1,1,1796,1709,A03,2,2
4006,1,96,1,2,1720,1697,C53,7,2
4007,1,38,2,2,1704,1852,D02,3,1
4008,1,84,1,2,1718,1587,D02,4,1
4009,1,41,2,1,1779,1727,C34,5,2
4010,1,62,1,2,1737,1775,B31,6,2
4011,1,53,1,1,1888,1744,C62,6,2
4012,1,27,3,1,1852,1761,C50,6,2
4013,1,78,2,2,1772,1770,B30,5,2
4014,1,47,2,1,1799,1782,C34,6,2
4015,1,33,2,1,1820,1792,C42,5,2
4016,1,103,2,1,1734,1805,C50,6,2
4017,1,46,1,2,1696,1797,C62,6,2
4018,1,79,2,2,1695,1789,D00,3,3
4019,1,73,3,1,1780,1722,A41,4,2
4020,0,37,2,1,1914,1780,C21,10,2
4021,0,23,2,1,1786,1966,B01,4,2
4022,1,41,2,1,1882,1806,A00,1,1
4023,1,29,2,1,1792,1898,A04,2,1
4024,1,50,2,2,1760,1782,D00,3,2
4025,0,85,1,1,1818,1793,A04,2,1
4026,1,29,2,1,1785,2054,C01,5,2
4027,1,39,3,1,1215,1511,C00,3,2
4028,1,39,3,1,1687,1218,D00,3,2
4029,1,35,3,1,1316,1237,C20,4,2
4030,1,32,3,2,1261,1279,C40,3,2
4031,1,21,3,1,1228,1292,C20,3,2
4032,0,13,1,1,1255,1151,A00,2,3
4033,1,79,2,1,1391,1161,E70,7,2
4034,1,43,2,1,1142,1066,A00,1,2
4035,1,40,2,2,1162,1242,A00,1,2
4036,1,78,2,1,1204,1187,B06,2,2
4037,1,29,2,1,1229,1215,B06,2,2
4038,0,12,2,2,1336,1190,A40,2,3
4039,1,47,3,1,1150,1223,A00,1,2
4040,0,40,2,1,1450,1150,A40,2,2
4041,1,85,2,1,1425,1164,B06,4,3
4042,1,46,2,2,1452,1108,B06,4,3
4043,0,65,1,1,1255,1108,A00,2,3
4044,0,17,0,0,1108,1255,A00,3,3
4045,0,73,0,0,1255,1108,A05,10,3
4046,0,91,1,1,1255,1108,A00,1,3
4047,0,88,0,0,1108,1255,D00,3,3
4048,0,64,2,2,1255,1108,D26,10,3
4049,1,90,3,2,1142,1431,C01,4,2
4050,1,57,3,1,1107,1022,A45,5,2
4051,0,32,1,2,1107,1352,C20,3,3
4052,1,45,3,1,1581,1513,A01,2,2
4053,1,69,2,1,1505,1393,A30,2,2
4054,1,25,2,1,1493,1517,B20,3,2
4055,1,50,2,2,1494,1506,A30,2,2
4056,1,75,2,1,1497,1494,A13,2,2
4057,1,90,2,2,1572,1484,D02,4,2
4058,1,14,2,2,1492,1563,A22,5,2
4059,1,37,2,1,1511,1502,B30,4,2
4060,1,52,2,2,1513,1527,A17,4,2
4061,1,52,3,2,1478,1503,D02,4,2
4062,1,54,2,2,1513,1541,A10,2,2
4063,1,22,3,2,1322,1507,B21,3,2
4064,1,31,2,1,1504,1509,B20,3,2
4066,1,64,2,1,1491,1505,A10,2,2
4067,1,9,3,1,1512,1490,B22,3,2
4068,1,40,2,2,1502,1469,A13,2,2
4069,1,132,2,2,1497,1491,B20,3,2
4070,1,42,3,2,1430,1482,B20,3,2
4071,1,50,2,1,1465,1493,B31,6,2
4072,1,37,2,1,1476,1432,A20,2,2
4073,1,117,2,1,1501,1486,B20,3,2
4074,1,70,1,2,1531,1473,A00,1,2
4075,1,14,2,2,1483,1521,A36,5,2
4076,1,59,2,1,1491,1493,B23,3,2
4077,1,39,2,1,1480,1592,A20,2,2
4078,1,26,2,2,1479,1514,A13,2,2
4079,1,58,2,2,1468,1468,B34,9,2
4080,1,104,3,2,1479,1462,A20,2,2
4081,1,63,3,1,1624,1486,B34,9,2
4082,1,97,3,1,1476,1469,A20,2,2
4083,1,51,2,1,1467,1404,A10,2,2
4084,1,63,2,2,1479,1427,A22,6,2
4085,1,33,2,1,1489,1478,B20,3,2
4086,1,79,2,1,1467,1468,A22,6,2
4087,1,33,2,1,1578,1475,B34,9,2
4088,1,11,2,1,1466,1395,A10,2,2
4089,1,21,2,1,1532,1475,B30,4,2
4090,1,17,2,1,1462,1545,A10,2,2
4091,1,26,2,1,1536,1471,B20,3,2
4092,1,29,3,1,1457,1550,A10,2,2
4093,1,61,2,1,1422,1469,B20,2,2
4094,1,39,2,2,1481,1436,A21,3,2
4095,1,59,2,1,1477,1492,A43,3,2
4099,0,5,2,1,1937,1407,A40,1,2
4100,1,47,3,1,2141,1414,B07,3,1
4102,0,9,2,1,1342,1221,C50,7,2
4103,1,44,3,2,1254,1204,C48,8,2
4104,1,53,3,1,1184,1269,C46,7,2
4105,1,26,2,2,1203,1140,C41,4,2
4106,1,7,2,1,1329,1215,C20,3,2
4107,1,4,2,1,1325,1227,C44,4,2
4109,1,17,2,2,1233,1532,C40,3,2
4110,1,57,2,1,1567,1238,C50,6,2
4111,1,85,3,1,1681,1216,D02,5,2
4112,1,171,3,1,1189,1373,C40,4,2
4113,1,28,2,1,1162,1319,B00,3,2
4114,1,78,3,2,1446,1133,C21,5,2
4115,0,1,1,1,2404,1616,B00,1,2
4116,0,91,2,1,1616,1657,B00,2,2
4117,1,70,2,2,1499,1449,D00,5,2
4118,1,48,2,2,1405,1365,C20,3,2
4119,1,7,2,1,1302,1351,B20,3,1
4120,1,30,2,2,989,1658,C45,8,2
4121,1,52,3,2,989,1658,C20,3,2
4122,1,2,2,2,1610,989,A40,2,2
4123,1,3,2,1,989,1610,B01,2,2
4124,1,3,2,1,1538,991,C40,3,2
4125,1,20,2,2,1003,1246,C20,3,2
4126,1,7,3,1,958,1274,C20,3,2
4129,1,62,3,2,978,1179,B08,8,2
4130,1,71,3,1,1172,996,D00,3,2
4131,1,44,3,2,1032,1011,A00,1,2
4132,1,33,3,1,1142,1061,A00,1,2
4133,0,29,3,1,1424,1061,B00,4,2
4134,1,64,0,0,1691,1451,B21,3,3
4135,1,89,3,1,1471,1461,B20,3,2
4136,1,57,2,2,1440,1451,B20,3,2
4137,1,113,0,0,1450,1468,C00,3,2
4138,1,34,3,2,1455,1679,C41,8,2
4139,1,99,0,0,1454,1489,C46,5,2
4140,1,32,2,2,1508,1440,B21,3,2
4141,1,33,2,1,1425,1576,C01,5,2
4142,1,103,0,0,1580,1420,D02,4,2
4143,1,111,0,0,1418,1480,B00,2,2
4144,1,18,2,2,1545,1402,A20,2,2
4145,1,67,2,1,1392,1332,B94,11,2
4146,1,81,3,1,1382,1388,C47,8,2
4147,1,57,3,1,1347,1395,B23,3,2
4148,0,99,3,1,1395,1367,C44,5,2
4149,1,102,3,2,1418,1472,B00,4,2
4150,1,40,2,2,1423,1645,B21,3,2
4152,1,20,2,2,1457,1418,B52,6,3
4153,1,112,3,2,1421,1754,C45,7,2
4154,1,91,2,1,1464,1432,C20,4,3
4155,1,37,3,1,1363,1447,A40,1,2
4156,1,115,3,1,1653,1453,A40,1,3
4157,1,47,3,1,1710,1460,D10,5,2
4158,1,46,3,2,1465,1706,C42,7,2
4159,1,31,2,1,1701,1470,D02,4,2
4160,1,53,2,1,1554,1479,A40,1,3
4161,1,20,3,2,1488,1591,C48,8,3
4162,1,167,3,1,1579,1497,B11,6,3
4163,1,63,2,1,1482,1537,B20,2,3
4164,1,70,3,2,1528,1468,B12,7,3
4165,1,77,0,0,1467,1501,C41,4,3
4166,1,41,0,0,1559,1472,D11,5,3
4167,1,112,2,2,1549,1456,A11,2,3
4168,1,68,3,2,1436,1434,A40,1,2
4169,1,59,2,1,1858,1436,B11,8,3
4170,1,96,0,0,1431,1585,C45,8,3
4171,1,80,3,2,1443,1471,C44,5,3
4172,1,67,3,1,1661,1132,C40,4,2
4173,1,36,3,2,1073,1135,A00,1,2
4174,1,91,3,1,1551,1142,C20,3,2
4175,1,16,3,2,1155,1483,C42,5,2
4176,1,24,2,1,1780,1157,C42,5,2
4177,1,8,2,2,1157,2312,B20,3,2
4178,1,18,2,2,1164,1616,C23,3,2
4179,1,103,3,1,1563,1173,E00,4,2
4180,1,10,2,1,1805,1176,A40,2,2
4181,1,76,3,2,1209,1320,C23,3,2
4182,1,106,3,2,1215,1703,C20,4,2
4183,1,26,3,2,1515,1127,E00,4,2
4184,1,13,3,1,1002,1534,C23,3,2
4185,1,54,2,2,1009,1513,B02,3,2
4186,1,67,3,1,1511,1017,C00,3,2
4187,1,12,2,2,1027,1509,B02,3,2
4188,1,57,2,1,1264,1064,C00,3,3
4189,1,60,3,2,1072,1625,A00,1,2
4190,1,16,3,2,1073,1939,C20,3,3
4191,1,39,2,1,1793,1076,C01,5,2
4192,1,9,1,1,1374,1115,C00,4,2
4193,1,38,2,1,1539,1136,C02,5,2
4194,1,34,2,2,1149,1677,A00,1,2
4195,1,41,1,1,1535,1182,C00,3,2
4197,1,57,3,1,856,1541,A00,1,2
4198,1,52,1,2,1435,2042,D04,5,2
4200,1,12,2,2,1353,1207,B06,5,2
4201,1,35,3,1,1347,1013,A40,2,2
4202,1,73,1,1,1334,1183,A40,1,2
4203,1,86,3,2,1079,1325,B01,2,2
4204,1,11,2,1,1314,1099,D00,3,2
4205,1,2,2,2,1052,1304,D00,2,2
4206,0,10,1,2,1100,1393,D01,5,2
4207,0,81,2,1,1393,1100,B12,5,2
4208,0,15,2,2,1100,1393,A43,3,2
4209,1,12,2,2,1027,1084,B01,4,2
4210,1,55,2,1,1065,1073,D00,5,2
4211,1,81,3,1,1085,1082,D00,3,2
4212,1,50,3,2,1104,1057,B12,5,2
4213,1,46,1,2,1130,1019,C00,4,2
4214,1,21,2,1,1125,1153,B01,2,2
4215,1,27,2,1,1152,1159,C21,3,2
4216,1,2,2,1,1112,1283,B01,2,2
4217,1,54,3,2,1141,1098,C20,3,2
4218,1,35,3,1,1080,1177,B01,2,2
4219,1,23,2,1,1152,1206,A00,1,2
4220,1,20,2,2,1145,1174,B01,2,2
4221,1,10,2,2,1205,1199,B02,4,2
4222,1,12,0,0,1216,1093,C00,4,2
4223,1,4,2,2,1141,1175,B01,2,2
4224,1,44,3,2,1018,1142,B01,2,2
4225,1,22,1,2,1208,1140,C22,6,2
4226,1,86,3,2,1195,1123,C40,4,2
4227,1,50,3,2,1221,1168,D00,5,2
4228,1,108,3,2,1054,1384,C23,4,2
4229,1,41,1,1,1703,1484,C01,5,2
4230,1,16,2,1,1455,1427,C02,5,2
4231,1,21,2,1,1433,1306,C80,11,2
4232,1,30,1,2,1469,1476,B01,4,2
4233,1,109,2,1,1785,1481,C00,3,2
4234,1,54,2,2,1315,1455,C02,7,2
4235,1,96,2,2,1466,1815,B90,10,2
4236,1,255,0,0,1585,1448,C00,3,2
4237,0,68,0,0,1907,1448,A28,7,2
4238,1,39,0,0,1291,1451,C02,7,2
4239,1,104,3,2,1278,1406,C00,4,2
4240,1,54,1,2,1515,1404,C02,5,2
4241,1,75,3,1,1473,1221,C84,10,2
4242,1,67,1,1,1610,1599,C00,3,2
4243,0,68,1,2,1907,1599,A28,7,2
4248,1,121,3,1,1093,1119,C41,4,2
4249,1,44,3,2,1117,898,C41,6,2
4250,1,27,1,1,1169,1133,B00,5,3
4251,1,35,3,1,1106,1273,C60,6,2
4252,1,45,3,1,1251,1119,C68,8,2
4253,1,20,2,2,1128,1347,C41,4,2
4254,1,78,3,2,1146,1355,C44,5,2
4255,1,56,3,2,1254,1116,C44,4,2
4256,1,141,3,1,1228,1133,D00,3,2
4257,1,61,1,1,1705,1135,C50,5,2
4258,1,64,3,2,1158,1306,B00,3,2
4259,1,19,3,1,1759,1163,C50,5,2
4260,1,26,3,2,1167,1627,C61,6,2
4261,1,51,3,1,2023,1168,A20,2,2
4262,1,115,1,1,1426,1178,C01,5,2
4263,1,100,3,2,1200,1252,C91,17,2
4264,1,75,3,1,1427,1213,C68,7,2
4265,1,64,3,2,1303,1175,C84,10,2
4266,1,14,0,0,1155,1424,C11,6,2
4267,0,36,3,2,1155,1907,C88,15,2
4268,1,85,0,0,1170,1302,C92,18,2
4269,1,64,3,2,1173,1718,C00,4,2
4270,1,77,1,1,1278,1204,C70,10,2
4272,1,74,3,2,1264,1288,C91,17,2
4273,0,70,1,2,1907,1264,A40,2,2
4274,1,38,0,0,1420,1239,C50,5,2
4275,1,40,3,2,1277,1409,C11,6,2
4276,1,31,1,1,1804,1284,C50,5,2
4277,1,56,3,2,1406,1404,B21,3,2
4278,1,47,3,1,1231,1516,B01,4,2
4279,1,33,2,1,1466,1303,C68,7,2
4281,1,23,3,1,1127,1234,A22,4,3
4282,1,77,2,1,1242,1162,B06,2,3
4283,1,17,2,1,1104,1168,A28,7,3
4284,1,128,3,2,1138,1276,A21,3,3
4285,1,32,2,2,1186,1283,A27,5,3
4286,1,48,2,2,1256,1301,A27,5,3
4287,1,26,2,1,1102,1301,A30,2,3
4288,1,46,2,2,1205,1279,A20,4,2
4289,0,12,2,1,1311,1205,A01,3,2
4291,1,124,2,2,1676,2003,D10,5,3
4292,1,17,2,1,2001,1571,C44,7,3
4293,0,94,2,2,1629,2001,B01,2,2
4294,0,23,2,1,1582,1079,C50,5,2
4295,0,51,3,1,1582,1079,C53,9,2
4296,0,38,1,2,1079,1582,D02,4,2
4297,0,85,3,1,1582,1410,A00,1,2
4298,0,114,3,2,1410,1582,A45,2,2
4303,0,60,3,2,1143,1591,C00,2,2
4304,0,41,3,1,1591,1143,A50,7,2
4305,0,20,2,2,1143,1591,C24,4,2
4306,0,14,2,2,1143,1591,A06,3,2
4307,0,51,3,1,1591,1143,C34,6,2
4308,0,39,3,1,1591,1143,A00,5,2
4309,1,70,1,2,924,1097,B07,4,1
4310,1,9,2,1,918,996,C44,5,2
4311,1,15,2,1,1146,1048,C20,4,2
4312,1,80,1,2,1077,1359,C40,4,2
4313,1,39,3,1,1196,1162,C50,8,2
4314,1,66,3,2,1362,1157,B01,2,2
4315,0,81,2,1,989,1362,C68,7,2
4316,0,69,3,1,1033,1362,B02,2,2
4319,1,113,1,0,1847,1541,A43,3,2
4320,1,46,3,2,1555,1844,C45,7,2
4321,1,114,3,2,1856,1819,D02,4,2
4322,1,59,2,1,1681,1874,A40,2,2
4323,1,93,3,1,1868,1663,D30,7,2
4324,1,68,3,2,1741,1860,C57,11,2
4325,1,84,2,2,1881,1518,A56,6,2
4326,1,71,2,2,1573,1877,C20,3,2
4327,1,61,2,1,1871,1704,E90,9,2
4328,1,93,3,1,1858,1920,E30,7,2
4329,1,49,2,1,1846,1834,A40,2,2
4330,1,40,2,2,1836,1832,D00,3,2
4331,1,168,2,2,1841,1914,D80,6,2
4332,1,61,2,1,1826,1965,D30,4,2
4333,1,28,2,2,1626,1820,C00,2,2
4334,1,53,3,1,1818,1368,E90,9,2
4335,1,61,2,1,1901,1827,C00,3,2
4336,1,83,2,1,1791,1803,C00,3,2
4337,1,71,2,1,1792,1788,D50,7,2
4338,1,77,2,1,1780,1808,D20,5,2
4339,1,97,0,0,1456,1789,C00,3,2
4340,1,156,1,2,1802,1740,B12,6,2
4341,1,69,3,1,2031,1807,D02,4,2
4342,1,77,2,1,2182,1809,C01,5,2
4343,1,65,2,1,2062,1814,A40,2,2
4344,1,76,3,2,1828,1697,D02,3,2
4345,1,29,2,1,1821,1699,E90,9,2
4346,1,66,3,2,1915,1807,A03,2,2
4347,1,91,3,1,1791,1929,A85,5,2
4348,1,73,3,1,1922,1799,A02,1,2
4349,1,62,3,2,1810,1817,D02,4,2
4350,1,105,2,2,1822,1798,A00,1,2
4351,1,75,2,1,1784,1871,A20,2,2
4352,1,98,2,2,1788,2059,D02,4,2
4353,1,72,2,2,1461,1785,D02,3,2
4354,1,62,2,2,1094,1047,C55,6,2
4355,1,54,2,2,1104,1280,A01,4,2
4356,1,66,2,1,1633,1106,A04,2,2
4357,1,37,2,1,1506,1109,A01,1,2
4358,0,29,2,2,1109,1227,C00,3,2
4359,1,55,2,1,1709,1117,C00,3,2
4360,1,48,0,0,1302,1116,A00,1,2
4361,1,73,2,1,1084,1370,D10,4,2
4362,1,39,3,1,1732,1085,C00,3,2
4363,0,49,3,1,2022,1085,D02,4,2
4364,1,48,3,2,1086,1774,D12,8,2
4365,1,79,3,1,1651,1087,C29,6,2
4366,1,9,2,1,1319,1096,A00,1,3
4367,1,51,2,1,1683,1097,B00,4,2
4368,1,33,1,1,1080,1047,A40,2,2
4369,1,94,2,2,1092,1247,C20,3,2
4370,1,47,2,1,1707,1093,C02,5,2
4371,1,27,2,1,1425,1099,B00,4,2
4372,1,11,2,2,1121,1105,C20,3,2
4373,0,70,2,2,1121,1501,C20,3,2
4374,1,60,2,2,1126,1483,C00,3,2
4375,0,27,2,1,1778,1126,C00,3,2
4376,0,50,0,0,1186,1126,A00,1,2
4377,1,73,2,1,1476,1131,C01,5,2
4378,0,21,2,1,1884,1131,C01,5,2
4379,1,39,2,1,1494,1137,C00,3,2
4380,1,45,3,1,2335,2262,B31,6,2
4381,1,110,2,2,2271,2322,C64,9,2
4382,1,45,2,1,2307,2280,B30,5,2
4383,1,40,2,2,2291,2290,D32,9,2
4384,1,77,2,1,2269,2347,C01,5,2
4385,1,47,2,1,2247,2323,A04,2,2
4386,1,45,2,1,2235,2118,D46,12,2
4387,1,40,2,2,2126,2221,C47,8,2
4388,1,41,2,1,2202,2234,B45,9,2
4389,1,48,2,2,2193,2181,A20,2,2
4390,1,62,1,2,2204,2157,E16,10,2
4391,1,46,1,2,2120,2135,C05,6,2
4392,0,31,3,1,2135,1151,A44,6,2
4393,0,38,3,2,1151,2135,A00,1,2
4394,1,34,3,2,1586,2133,B03,7,1
4395,1,22,3,2,1635,2131,C00,3,2
4396,1,92,2,2,1967,2116,B18,11,2
4397,1,65,2,1,2080,2278,D53,10,2
4398,1,53,1,1,2070,1821,C10,5,2
4399,1,22,2,2,1791,2060,B01,6,2
4400,1,68,3,2,2043,2032,B01,8,2
4401,1,57,1,1,2016,1839,B10,5,2
4402,1,52,2,1,1989,1945,C03,5,2
4403,1,49,2,1,1943,2091,D85,13,2
4404,1,51,2,1,1909,1887,B15,10,2
4405,1,20,2,2,1729,1886,A52,7,2
4406,1,137,1,1,1627,1627,B00,4,2
4407,1,46,2,2,1657,1638,B30,4,2
4408,1,39,2,1,1970,1666,B07,5,2
4409,1,76,1,2,1696,1629,A41,2,2
4410,1,126,2,2,1669,1792,B06,2,2
4411,1,66,3,2,1714,1676,B01,4,2
4412,1,106,0,0,1744,1440,C60,5,2
4413,1,112,2,2,1573,1715,B07,4,2
4414,1,46,2,2,1472,1691,A41,2,2
4415,1,134,3,2,1787,1533,B01,4,2
4416,1,80,1,2,1550,1755,A41,3,2
4417,1,47,0,0,1757,1748,C57,10,2
4418,1,88,2,2,1840,1606,A41,2,2
4419,1,45,2,2,1589,1444,B07,2,2
4420,1,76,1,2,1545,1684,C50,6,2
4422,1,43,2,1,2422,2324,C45,11,2
4423,1,64,2,2,2458,2424,C81,17,1
4424,1,39,2,1,2415,2331,C80,12,2
4425,1,50,2,2,2420,2404,A58,9,2
4426,1,150,2,2,2513,2383,B07,2,2
4427,1,96,1,2,2469,2369,B06,8,2
4428,1,136,0,0,2220,2374,B35,13,2
4429,1,71,2,1,2367,2234,E54,12,2
4430,1,86,1,2,2249,2359,E53,12,2
4431,1,55,2,2,2324,2349,B25,4,2
4432,1,28,2,2,2226,2342,C16,7,2
4433,1,83,2,1,2331,2336,A57,7,2
4434,1,117,2,1,2203,2346,C67,10,2
4435,1,95,1,1,2338,2272,E73,12,2
4436,1,98,2,2,2347,2394,A40,2,2
4437,1,120,2,2,2355,2449,A16,7,1
4438,1,107,1,1,1817,1798,C46,7,2
4439,1,154,3,2,1645,1737,B30,4,2
4440,1,48,3,2,1641,1726,B20,3,2
4441,0,38,2,2,1726,1653,A42,5,2
4443,1,44,2,2,1587,1519,C22,6,2
4444,1,36,3,2,1547,1801,C64,6,2
4445,1,59,2,1,1678,1618,C30,4,2
4446,1,20,2,2,1674,1862,C68,10,2
4447,1,3,2,1,1430,2173,C40,3,2
4448,0,54,0,0,1430,1618,B01,6,2
4450,1,21,2,1,1257,1042,B01,2,3
4451,1,46,2,1,971,1153,C21,5,2
4452,1,23,2,1,1214,994,B01,4,2
4453,1,55,3,1,1748,996,D30,4,2
4454,1,63,3,1,1127,1193,B01,2,2
4455,0,90,3,2,1193,1319,C44,4,3
4456,1,24,3,2,1244,1394,C20,3,2
4457,1,91,2,1,1386,1352,C20,3,2
4459,1,77,2,1,2131,2103,B32,10,3
4460,1,91,1,1,2095,1991,A20,2,2
4461,1,125,3,1,2088,1974,A20,2,2
4462,1,41,3,1,2247,2094,B20,6,2
4463,1,118,3,2,1453,1380,C46,5,2
4464,1,49,3,1,1446,1317,C46,7,2
4465,1,64,2,2,1459,1392,C41,4,2
4466,1,42,3,2,1434,1449,C58,11,2
4467,0,35,3,1,2621,1449,C50,9,2
4468,1,67,2,1,1816,1409,B81,11,3
4502,1,73,3,1,1826,1851,B54,6,2
4503,1,110,2,2,1854,1814,B00,3,2
4504,1,156,0,0,1813,1834,C00,3,2
4505,1,62,2,2,1828,1801,B00,5,2
4506,1,21,2,1,1900,1810,D00,3,1
4507,1,64,3,2,1819,1891,B00,2,1
4508,1,35,2,1,1882,1828,D00,3,1
4509,1,75,2,1,1813,1940,B30,5,2
4510,1,23,2,1,2035,1818,D00,4,1
4511,1,55,2,1,1912,1827,B20,3,2
4512,1,9,2,1,1227,1204,C34,5,2
4513,1,38,2,1,1253,1236,B10,2,2
4514,1,100,2,2,1245,1294,B00,4,2
4515,1,60,3,2,1234,1235,B10,2,2
4516,1,57,3,1,1254,1245,C26,4,2
4517,1,137,3,1,1277,1255,C44,5,2
4518,1,132,2,2,1265,1267,B25,4,2
4519,1,58,2,2,1275,1286,B01,2,2
4520,1,102,2,1,1256,1286,D00,4,2
4521,1,22,2,2,1298,1244,B01,2,2
4522,1,67,3,1,1231,1311,B10,2,2
4523,1,60,3,2,1291,1301,B10,2,2
4524,1,55,3,1,1290,1290,C30,5,2
4525,1,112,3,2,1300,1319,B23,3,2
4526,1,53,3,1,1345,1310,B18,8,2
4527,1,58,2,1,1330,1320,C44,5,2
4528,1,11,2,1,1309,1314,C30,5,2
4529,1,101,3,1,1298,1369,C28,5,2
4530,1,39,3,1,1306,1307,C20,3,2
4531,1,28,3,2,1318,1318,B01,2,2
4532,1,89,2,1,1378,1326,D06,4,2
4533,1,101,2,2,1336,1355,C30,3,2
4534,1,45,3,1,1365,1345,C44,4,2
4535,1,76,2,2,1356,1355,B00,2,2
4536,1,136,2,2,1315,1346,A50,4,2
4537,1,81,3,1,1388,1356,C60,6,2
4538,1,63,2,1,1335,1333,B12,7,2
4539,1,37,3,1,1325,1262,B21,3,2
4540,1,61,3,1,1316,1282,C34,6,2
4541,1,137,0,0,1312,1316,D10,4,2
4542,1,86,2,2,1277,1306,B12,5,2
4543,1,17,2,2,1244,1297,D10,6,2
4544,1,45,2,1,1288,1254,B01,2,2
4545,1,96,1,2,1346,1276,B10,2,2
4546,1,37,2,1,2013,1773,B54,5,2
4547,1,57,3,1,2105,1806,D35,6,2
4548,1,46,2,2,1836,1741,C45,7,2
4549,1,128,3,2,1858,1903,A00,4,2
4550,0,14,2,2,1793,2131,C02,9,2
4551,0,23,3,1,1754,2131,C00,3,2
4552,0,46,2,2,1596,2131,E20,6,2
4553,0,77,2,2,1236,2131,B12,5,2
4554,1,73,2,1,2135,1980,B98,14,2
4555,1,71,3,1,1540,2025,B20,3,2
4556,1,51,2,1,1709,1703,A00,1,2
4557,1,29,2,1,1707,1542,C20,3,3
4558,0,70,3,2,1127,1707,C43,6,2
4559,1,107,3,1,1699,1366,B02,2,2
4560,1,59,3,1,1679,1517,C00,3,2
4561,1,89,2,1,1645,1411,B01,6,2
4562,1,50,3,2,1416,1625,C22,6,2
4565,1,23,3,1,1618,1136,B20,2,3
4567,1,96,2,2,1688,1485,C22,7,2
4568,1,58,3,2,1344,1648,C20,3,2
4569,1,85,2,1,1639,1203,B02,2,2
4570,1,61,3,1,1379,1746,C23,3,2
4571,1,65,3,1,1697,1606,C20,3,2
4572,1,58,3,2,1763,1816,C20,3,2
4573,1,83,3,1,1621,1475,C20,3,2
4575,1,10,2,1,1657,1033,A40,1,2
4577,1,10,2,2,1035,1603,A00,1,2
4578,1,56,3,2,1036,1653,A06,2,2
4579,1,77,3,1,1652,1038,B00,3,2
4580,1,81,3,1,1359,1044,B02,3,2
4581,1,36,3,2,1051,1356,A00,1,2
4582,0,18,0,0,1051,1257,A04,2,3
4583,0,39,3,1,1257,1051,B00,3,3
4584,0,29,0,0,1051,1257,A04,2,3
4585,1,11,3,1,1598,1053,B02,2,3
4586,1,50,3,2,1062,1322,A04,2,2
4587,1,50,3,2,1025,1579,A04,2,2
4588,0,23,2,1,1331,1025,C20,3,2
4589,0,6,0,0,1025,1734,A00,1,2
4590,1,59,2,1,1470,1029,D06,4,2
4591,1,10,1,2,1035,1401,A06,2,2
4592,1,41,2,1,1470,1039,C20,3,2
4593,1,9,2,2,1041,1600,A00,3,2
4594,1,4,1,2,1156,1005,C20,3,2
4595,1,20,3,2,1006,1679,A00,1,2
4596,1,6,0,0,1414,983,C20,3,2
4597,1,35,2,1,1256,937,D00,2,2
4598,1,18,2,2,946,1250,A06,3,2
4599,0,87,2,1,1418,1264,D00,2,2
4600,1,63,2,1,1621,1268,C01,5,2
4601,0,51,3,1,1330,1272,C26,4,2
4602,1,66,2,2,1277,1550,B00,2,2
4603,1,157,3,1,1546,1282,C20,3,2
4604,1,35,2,1,1259,1472,C46,7,2
4605,1,71,2,1,1467,1267,C20,3,2
4606,1,113,2,1,1573,1271,C20,3,2
4607,1,9,3,1,1569,1276,C20,3,2
4608,1,26,2,2,1279,1696,B23,3,2
4609,1,33,3,1,1340,1293,C20,3,2
4610,1,50,3,2,1294,1804,C50,9,2
4611,1,39,3,1,1802,1296,C20,4,2
4612,1,30,2,2,1298,1800,C50,8,2
4613,1,39,3,1,1861,1299,D02,4,2
4614,1,89,2,1,1268,1316,C50,6,2
4615,1,23,3,1,1347,1331,A09,4,2
4616,0,65,2,1,1418,1331,A40,2,2
4617,1,67,2,2,1340,1511,C44,6,2
4619,1,53,1,1,1455,1336,A00,2,2
4620,0,51,1,1,1609,1866,A22,4,2
4621,0,47,3,1,1760,1866,B94,11,2
4622,0,30,2,1,1866,1729,B30,5,2
4623,0,49,2,2,1563,1866,D44,11,2
4626,0,39,2,1,1866,1510,B31,6,2
4627,0,38,2,2,1866,1466,C41,5,2
4628,0,94,3,2,1407,1866,D00,4,2
4629,0,94,2,2,1614,1866,A00,1,2
4630,0,9,2,1,1866,1556,B50,5,2
4633,0,13,1,1,1866,1438,C55,6,2
4637,0,56,1,2,1706,1866,D02,5,2
4638,0,69,2,1,1866,2236,B40,5,2
4639,0,86,3,2,1817,1866,B50,4,2
4640,0,31,3,1,1866,1514,C57,9,2
4641,1,55,2,1,2326,1907,A13,4,2
4642,1,20,2,2,1907,1770,D02,4,2
4643,1,26,2,2,1922,1839,A40,2,2
4644,1,101,0,0,1836,1925,D02,4,2
4645,0,17,2,1,1925,1457,A41,2,2
4646,0,40,2,2,1457,1925,B07,2,2
4647,0,67,3,1,2160,1925,C65,7,2
4648,0,17,0,0,2160,1925,C41,5,2
4649,0,127,0,0,1986,1925,C50,5,2
4650,0,102,2,2,1925,1777,A40,2,2
4651,0,78,2,2,1777,1925,B01,4,2
4652,1,48,2,2,1932,2075,D01,4,2
